"Reference","Value","Footprint","Datasheet","Source","Voltage","Qty"
"BPF1","Pluggable BPF","footprints:Pluggable-BPF","","JLCPCB(A)","","1"
"C1, C6, C7, C9, C14, C18, C25-C30, C32, C37, C39, C41","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","-- mixed values --","16"
"C2, C8, C13, C24, C38, C42, C43, C45, C46","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","9"
"C3","100p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","1"
"C4, C19, C35","10n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","3"
"C5, C15, C44","100u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","LCSC","","3"
"C10, C12","120p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","2"
"C11","200p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","1"
"C16","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","LCSC","","1"
"C17, C20","1n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","2"
"C21, C23, C47","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","LCSC","","3"
"C31","680p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","1"
"C36"," 10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","1"
"C40","~1n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","LCSC","","1"
"CW_KEY1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","NA","","1"
"D1, D2","SS34","Diode_SMD:D_SMA_Handsoldering","https://www.tme.eu/Document/4534c3d1273464918563ce78bdeb2ece/SS34-E3-57T.pdf","LCSC","","2"
"D3, D8, D9","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","https://www.vishay.com/docs/81857/1n4148.pdf","LCSC","","3"
"D4","5.1V","Diode_SMD:D_MiniMELF","~","LCSC","","1"
"D5","5.6v 5W","Diode_THT:D_DO-15_P3.81mm_Vertical_KathodeUp","~","LCSC","","1"
"EXT_ATU1","EXT_ATU","footprints:PJ-307_Modded","https://cdn.hackaday.io/files/1813827760247488/JW-PJ-307-5_35mm-stereo-pcb-socket.pdf","","","1"
"F1","2A","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~","LCSC","","1"
"H1-H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","NA","","4"
"J1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","NA","","1"
"JP1, JP4","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","NA","","2"
"JP2","Power_Switch","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~","NA","","1"
"JP3","Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","NA","","1"
"K1","Omron G5V-2 / OEN 46-05-2C","Relay_THT:Relay_DPDT_Omron_G5V-2","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_2.pdf","LCSC","","1"
"L1, L2","360n","Inductor_THT:L_Toroid_Vertical_L10.0mm_W5.0mm_P5.08mm","~","DIY on Toroid","","2"
"L4","Ferrite Bead (2A)","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","330Ohm 2.5A 25% 0805 Multilayer Chip Ferrite Bead - UPZ2012E331-2R5TF - Shenzhen Sunlord - LCSC","LCSC","","1"
"L5","1uH","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","~","LCSC","","1"
"Power1","DC-005 (Barrel Jack)","footprints:XKB_DC-005-5A-2.0_Modded","https://www.lcsc.com/product-detail/Power-Connectors_XKB-Enterprise-DC-005-5A-2-0_C381116.html","LCSC","","1"
"Q1, Q4, Q5","2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.onsemi.com/pdf/datasheet/2n3903-d.pdf","LCSC","","3"
"Q2","IRF510","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.lcsc.com/product-detail/MOSFETs_Vishay-Intertech-IRFI510GPBF_C506484.html","Mouser / LCSC (IRFI510G)","","1"
"Q3","AOD407","Package_TO_SOT_SMD:TO-252-2","http://aosmd.com/pdfs/datasheet/AOD407.pdf","LCSC","","1"
"R1","100K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"R2, R10, R11","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","3"
"R4","470","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"R6","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"R7","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"R8, R9","4.7k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","2"
"R12","3.3R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","LCSC or short (preferred)!","","1"
"Rb1","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"Rf1","4.7k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"RF_OUT1","SMA","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","LCSC / https://www.ktron.in/","","1"
"Rin1","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"Rl1","470","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","LCSC","","1"
"RV1","10k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","NA","","1"
"RV2","20k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","NA","","1"
"RZ1","RP2040-Zero","footprints:RP2040-Zero","https://www.waveshare.com/wiki/RP2040-Zero","","","1"
"SPK1","SPEAKER","footprints:PJ-307_Modded","https://cdn.hackaday.io/files/1813827760247488/JW-PJ-307-5_35mm-stereo-pcb-socket.pdf","","","1"
"T1","Bifilar XFMR","footprints:IND_SRF1260A-4R7Y-Longer-Pads","https://www.digikey.com/en/products/detail/bourns-inc/SRF1260A-4R7Y/4340156","Mouser / DigiKey / Farnell","","1"
"U1","L7805 (D2PAK)","Package_TO_SOT_SMD:TO-263-2","https://www.st.com/resource/en/datasheet/l78.pdf","LCSC","","1"
"U2","UCC27517ADBVR","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://www.lcsc.com/product-detail/Gate-Drive-ICs_Texas-Instruments-UCC27517ADBVR_C2653784.html","LCSC","","1"
"U3","L7812","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/l78.pdf","LCSC","","1"
"U4","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","LCSC (Hottech make is fine!)","","1"
"U5","SI5351_Module","footprints:SI5351 Module","https://github.com/kholia/Si5351-Module-Clone-TCXO/ (MUST!)","TCXO is a must!","","1"
"U7","CD2003GB_GP","Package_DIP:DIP-16_W7.62mm","https://www.ak-modul-bus.de/cat/documentation/CD2003.pdf","eBay / https://inkocean.in/","","1"
"U8","MCP6002","Package_DIP:DIP-8_W7.62mm","https://www.microchip.com/en-us/product/mcp6002","Mouser / DigiKey / Semikart","","1"
